,행정동,월_평균_소득_금액,지출_총금액,식료품_지출_총금액,음식_지출_총금액,정규화된 추정 저소득충 고령자 수,편의점 수,편의점 정규화 거리,편의점 정규화 수,대형마트 수,대형마트 정규화 거리,대형마트 정규화 수,신선식품 가게 수,신선식품 가게 정규화 거리,신선식품 가게 정규화 수,식품접근성 지수,고령화수준,식품사막
0,가양1동,3560388.0,71646589000.0,3550621250.0,9601243000.0,0.0155328352339756,23.0,1.0,1.0,5.0,0.6140663841933304,0.7142857142857143,23,1.0,0.5111111111111111,2.6113304412034952,하,정상
1,가양2동,3065320.0,3063746250.0,1686858500.0,252428500.0,0.6374360990955564,4.0,0.4868932243831551,0.1739130434782608,1.0,0.0756567093831137,0.1428571428571428,3,0.4963384211389677,0.0666666666666666,2.3245484980968336,상,식품 사막
2,가양3동,3047051.0,601951000.0,239433250.0,97839750.0,0.4016909162406606,0.0,0.9206690770210516,0.0,0.0,0.7570712228645674,0.0,2,0.2353602484608135,0.0444444444444444,1.131343896098012,상,식품 사막
3,공항동,2896818.0,20825392500.0,1809913250.0,1862598500.0,0.3071175776641762,19.0,0.5636308917340017,0.8260869565217391,1.0,0.5469417109264246,0.1428571428571428,45,0.5524455323849976,1.0,3.305925964333458,상,식품 사막
4,등촌1동,3322838.0,17494667500.0,902032500.0,1607863000.0,0.0053086905230043,12.0,0.400079282995224,0.5217391304347826,0.0,0.7170293760780259,0.0,12,0.2949558467449861,0.2666666666666666,2.376341291283213,하,정상
5,등촌2동,3352636.0,2373093250.0,423239500.0,587012250.0,0.0412898151789225,7.0,0.8444580674692529,0.3043478260869565,0.0,1.0,0.0,11,0.7751234394154971,0.2444444444444444,0.9292107636466509,하,정상
6,등촌3동,3403390.0,9443974750.0,1648211000.0,2127492500.0,1.0,14.0,0.5616445699516804,0.6086956521739131,5.0,0.3571185294207576,0.7142857142857143,21,0.4578995537342763,0.4666666666666667,3.41298538001958,상,정상
7,발산1동,3192517.0,19784949750.0,4208995000.0,2801458500.0,0.2870625245772709,10.0,0.7232075160767268,0.4347826086956521,5.0,0.3957892042573749,0.7142857142857143,31,0.6949805285154088,0.6888888888888889,3.0239799630207447,중,잠재적 식품사막
8,방화1동,3407916.0,6322929250.0,1920596250.0,1601039500.0,0.2194258749508454,10.0,0.4659127325650363,0.4347826086956521,7.0,0.3162273567110633,1.0,10,0.499234377254993,0.2222222222222222,3.375630364386782,중,정상
9,방화2동,2708397.0,8183370750.0,1311621500.0,853712000.0,0.2925678332677939,15.0,0.5005595513059456,0.6521739130434783,7.0,0.3856605790862509,1.0,42,0.4521470807360169,0.9333333333333332,4.247140035248599,중,정상
10,방화3동,3044446.0,1686971000.0,818534750.0,332819250.0,0.4154541879669681,4.0,0.5862091218404784,0.1739130434782608,2.0,0.3018084609818796,0.2857142857142857,9,0.3648174910957952,0.2,2.4067922552743934,상,식품 사막
11,염창동,4127504.0,7272626250.0,1561028500.0,1322628000.0,0.0,9.0,0.3790353044887572,0.391304347826087,3.0,0.2510580913355091,0.4285714285714285,13,0.3932737130459662,0.2888888888888888,3.0853975564161717,하,정상
12,우장산동,4135674.0,7349035500.0,2828441000.0,972371250.0,0.0902477388910735,12.0,0.5647203374426493,0.5217391304347826,1.0,0.1684835780580457,0.1428571428571428,27,0.5406516517330545,0.6,2.990740706058176,하,정상
13,화곡1동,2485455.0,10539579750.0,2938383750.0,2697989000.0,0.3584349193865514,13.0,0.5679516677799258,0.5652173913043478,2.0,0.169102352704259,0.2857142857142857,39,0.420338392614862,0.8666666666666667,3.5602059305862532,상,정상
14,화곡2동,2385531.0,2266223000.0,574769250.0,223670000.0,0.1484467164766024,7.0,0.286162889268539,0.3043478260869565,3.0,0.1378978222764758,0.4285714285714285,14,0.2155812819145222,0.3111111111111111,3.404388372309959,하,정상
15,화곡3동,3132782.0,4218504750.0,867020250.0,1299026500.0,0.0859221392056625,7.0,0.3223014839477086,0.3043478260869565,4.0,0.1935488018287672,0.5714285714285714,11,0.4668557063210367,0.2444444444444444,3.13751484986246,하,정상
16,화곡4동,2423768.0,4409885000.0,981704250.0,865266250.0,0.2031065670467951,6.0,0.3945023999037335,0.2608695652173913,0.0,0.9953503739252896,0.0,18,0.2684404382662685,0.4,2.0025763531221,중,잠재적 식품사막
17,화곡6동,3040513.0,7155009000.0,1263694000.0,1791768000.0,0.1574911521824616,8.0,0.3408598131666916,0.3478260869565217,0.0,0.5067881066443621,0.0,15,0.3426371311346276,0.3333333333333333,2.4908743693441737,하,정상
18,화곡8동,2473381.0,4138350500.0,1735608750.0,1175862250.0,0.1777428234368855,7.0,0.4721811361740143,0.3043478260869565,0.0,0.5948748771679834,0.0,2,0.2301997524798102,0.0444444444444444,2.051536504709593,하,정상
19,화곡본동,2398795.0,6614177500.0,2112147000.0,1221899250.0,0.3484073928430987,8.0,0.4494005208518628,0.3478260869565217,1.0,0.2612058582678604,0.1428571428571428,11,0.4329916567748728,0.2444444444444444,2.5915296383635127,상,식품 사막
