인허가일자,영업상태명,폐업일자,사업장명,지번주소,업태구분명,좌표정보(X),좌표정보(Y),영업장주변구분명
20170608,영업/정상,20250101,지에스25마곡오드점,서울특별시 강서구 마곡동 784-11 외 1필지 마곡오드카운티1차 (지상 1층) 122호,편의점,185761.0,451315.0,
20170608,영업/정상,20250101,지에스25방화초원로점,서울특별시 강서구 방화동 600-2번지 진성빌딩 (지상 1층) ,편의점,183162.091655984,451755.48669166,
20170615,영업/정상,20250101,지에스25 화곡초교점,서울특별시 강서구 화곡동 53-14 1층 ,편의점,186440.967506771,448937.679534871,
20170615,영업/정상,20250101,지에스25방화5단지점,서울특별시 강서구 방화동 814-0번지 방화5단지아파트 (지상 1층) 상가1동 104호,편의점,183169.082562086,452783.158197133,
20170622,영업/정상,20250101,지에스25화곡으뜸점,서울특별시 강서구 화곡동 1098-9번지 대륙빌딩 (지상 1층) ,편의점,186674.002557847,450124.317328357,
20170814,영업/정상,20250101,세븐일레븐 화곡신정초교점,서울특별시 강서구 화곡동 451-23번지 (지상 1층) ,편의점,186823.029768943,447913.242309373,
20170828,영업/정상,20250101,지에스25 등촌서낭점,서울특별시 강서구 등촌동 663-7번지 (지상 1층) ,편의점,186336.124847832,450732.03485005,
20170925,영업/정상,20250101,이마트24 강서내발산점,서울특별시 강서구 내발산동 697-6번지 (지상 1층) ,편의점,185272.568433856,449983.780402194,
20171103,영업/정상,20250101,CU(씨유)뉴화곡우리마을,서울특별시 강서구 화곡동 926-5번지 한양아이클래스 101호,편의점,185958.548930426,447412.892882253,
20171128,영업/정상,20250101,세븐일레븐 등촌현대점,서울특별시 강서구 등촌동 647-83번지 (지상 1층) ,편의점,188035.952842648,449946.435252841,
20171207,영업/정상,20250101,GS25염창세빛,서울특별시 강서구 염창동 272-21번지 대경캐슬 (지상 1층) 101호,편의점,188436.920612411,449803.970613587,
20171215,영업/정상,20250101,CU마곡엠팰리체,서울특별시 강서구 마곡동 797-10 엠팰리체 (지상 1층) 110호,편의점,185377.0,450842.0,
20171219,영업/정상,20250101,씨유양천향교점,서울특별시 강서구 가양동 276-2 한림빌딩 (지상 1층) 101호,편의점,185838.384991988,452001.548882852,
20180102,영업/정상,20250101,GS25방화가온점,서울특별시 강서구 방화동 485-3번지 (지상 1층) ,편의점,183149.591182966,452423.048527158,
20180123,영업/정상,20250101,지에스25가양2점,서울특별시 강서구 가양동 1461-0번지 가양2단지아파트 (지상 1층) 상가동 106호,편의점,186429.327795498,452034.27568352,
20180329,영업/정상,20250101,이마트24 화곡본동점,서울특별시 강서구 화곡동 56-308번지 (지상 1층) ,편의점,186642.011202016,448801.639703992,
20180417,영업/정상,20250101,GS25 강서등촌점,서울특별시 강서구 등촌동 678-13번지 (지상 1층) ,편의점,185770.955892733,450956.362946787,
20180614,영업/정상,20250101,킹스커머스,서울특별시 강서구 화곡동 1093-76 KBS스포츠월드 (지상 1층) ,편의점,186463.83481885,450518.14211989,
20180807,영업/정상,20250101,지에스25 염창현대점,서울특별시 강서구 염창동 113-9번지 대운빌딩 (지상 1층) ,편의점,188944.612624413,449963.153553287,
20180817,영업/정상,20250101,GS25강서화곡점,서울특별시 강서구 화곡동 1114-0번지 (지상 1층) ,편의점,187039.999119771,450251.526734795,
20180904,영업/정상,20250101,지에스25 강서화곡로점,서울특별시 강서구 화곡동 1086-3번지 (지상 1층) ,편의점,185445.017818741,448533.882060708,
20180911,영업/정상,20250101,씨유 발산센터점,서울특별시 강서구 등촌동 674-9 (지상 1층) ,편의점,185795.947329396,450778.634128083,
20180919,영업/정상,20250101,씨유화곡 소비자점,서울특별시 강서구 화곡동 1056-0번지 (지상 1층) ,편의점,185832.308130488,449137.955617785,
20181015,영업/정상,20250101,GS25 염창신동아점,"서울특별시 강서구 염창동 289번지 신동아아파트 103,4호",편의점,188359.565502697,450325.838493988,
20181018,영업/정상,20250101,지에스25뉴마곡14단지점,서울특별시 강서구 마곡동 750 마곡엠밸리14단지 1층 상가동 107호,편의점,184612.189569,450961.510923,
20181018,영업/정상,20250101,이마트24 발산현대점,서울특별시 강서구 외발산동 216-18번지 (지상 1층) ,편의점,184401.001364931,449434.366587958,
20181018,영업/정상,20250101,GS25 화곡한나점,서울특별시 강서구 화곡동 906-1번지 1층 ,편의점,186414.044145182,447363.383938393,
20181024,영업/정상,20250101,지에스25 수명산4단지점,서울특별시 강서구 내발산동 753-0번지 마곡수명산파크4단지아파트 상가동 101~102호,편의점,184320.657855331,449900.251425229,
