,행정동_코드_명,월_평균_소득_금액,지출_총금액,식료품_지출_총금액,음식_지출_총금액
0,가양1동,3560388.0,71646589000.0,3550621250.0,9601243000.0
1,가양2동,3065320.0,3063746250.0,1686858500.0,252428500.0
2,가양3동,3047051.0,601951000.0,239433250.0,97839750.0
3,공항동,2896818.0,20825392500.0,1809913250.0,1862598500.0
4,등촌1동,3322838.0,17494667500.0,902032500.0,1607863000.0
5,등촌2동,3352636.0,2373093250.0,423239500.0,587012250.0
6,등촌3동,3403390.0,9443974750.0,1648211000.0,2127492500.0
7,발산1동,3192517.0,19784949750.0,4208995000.0,2801458500.0
8,방화1동,3407916.0,6322929250.0,1920596250.0,1601039500.0
9,방화2동,2708397.0,8183370750.0,1311621500.0,853712000.0
10,방화3동,3044446.0,1686971000.0,818534750.0,332819250.0
11,염창동,4127504.0,7272626250.0,1561028500.0,1322628000.0
12,우장산동,4135674.0,7349035500.0,2828441000.0,972371250.0
13,화곡1동,2485455.0,10539579750.0,2938383750.0,2697989000.0
14,화곡2동,2385531.0,2266223000.0,574769250.0,223670000.0
15,화곡3동,3132782.0,4218504750.0,867020250.0,1299026500.0
16,화곡4동,2423768.0,4409885000.0,981704250.0,865266250.0
17,화곡6동,3040513.0,7155009000.0,1263694000.0,1791768000.0
18,화곡8동,2473381.0,4138350500.0,1735608750.0,1175862250.0
19,화곡본동,2398795.0,6614177500.0,2112147000.0,1221899250.0
