,행정동,2022,노인 비율
0,염창동,240,106.15428955711404
1,등촌1동,267,118.09664713228936
2,등촌2동,450,199.03929291958883
3,등촌3동,5326,2355.740609088289
4,화곡본동,2012,889.9267941204727
5,화곡2동,995,440.09799212220196
6,화곡3동,677,299.44355845902584
7,화곡4동,1273,563.0600441925258
8,화곡6동,1041,460.4442309539821
9,화곡8동,1144,506.0021135555769
10,가양1동,319,141.0967432029974
11,가양2동,3482,1540.121817657796
12,가양3동,2283,1009.7926794120473
13,발산1동,1700,751.9262176962244
14,공항동,1802,797.0417907579979
15,방화1동,1356,599.7717359976943
16,방화2동,1728,764.3108848112211
17,방화3동,2353,1040.7543471995389
18,화곡1동,2063,912.4845806513595
19,우장산동,699,309.17436833509464
