,행정동_코드_명,월_평균_소득_금액,지출_총금액,식료품_지출_총금액,음식_지출_총금액
0,가양1동,3560388.0,67116214000.0,3394884750.0,7112969000.0
1,가양2동,3065320.0,2752417500.0,1481045000.0,256953750.0
2,가양3동,3047051.0,608400250.0,221705000.0,104885250.0
3,공항동,2896818.0,14079673250.0,1676215500.0,1466088250.0
4,등촌1동,3322838.0,12657973750.0,792901250.0,1330869250.0
5,등촌2동,3352636.0,2169636750.0,405945500.0,518861500.0
6,등촌3동,3403390.0,8666864750.0,1662904750.0,1739936000.0
7,발산1동,3192517.0,17541056250.0,4101460250.0,2155745500.0
8,방화1동,3407916.0,5860257500.0,1808709750.0,1425581000.0
9,방화2동,2708397.0,7161789250.0,1292460750.0,700825750.0
10,방화3동,3044446.0,1474301000.0,800978750.0,275599250.0
11,염창동,4127504.0,6524371500.0,1486033750.0,1142479750.0
12,우장산동,4135674.0,6206785250.0,2060697500.0,894919000.0
13,화곡1동,2485455.0,8927843000.0,2689874000.0,2130512250.0
14,화곡2동,2385531.0,2155821750.0,540309250.0,235253000.0
15,화곡3동,3132782.0,3887430500.0,857073000.0,1144767750.0
16,화곡4동,2423768.0,3768300750.0,1003604000.0,716618500.0
17,화곡6동,3040513.0,5836521000.0,1217402750.0,1387088250.0
18,화곡8동,2473381.0,3822464250.0,1725520500.0,1006349000.0
19,화곡본동,2398795.0,5991604250.0,1992874500.0,1043884500.0
