,행정동,월_평균_소득_금액,지출_총금액,식료품_지출_총금액,음식_지출_총금액,정규화된 추정 저소득충 고령자 수,편의점 수,편의점 정규화 거리,편의점 정규화 수,대형마트 수,대형마트 정규화 거리,대형마트 정규화 수,신선식품 가게 수,신선식품 가게 정규화 거리,신선식품 가게 정규화 수,식품접근성 지수,고령화수준,식품사막
0,가양1동,3560388.0,67116214000.0,3394884750.0,7112969000.0,0.0140310959423587,22.0,1.0,1.0,5.0,0.5758930302759535,0.625,21,1.0,0.4772727272727273,2.5263796969967736,하,정상
1,가양2동,3065320.0,2752417500.0,1481045000.0,256953750.0,0.5872203261281759,2.0,0.6668949486165678,0.0909090909090909,1.0,0.0709535202526752,0.125,3,0.4851872833406707,0.0681818181818181,2.061055156880995,상,식품 사막
2,가양3동,3047051.0,608400250.0,221705000.0,104885250.0,0.39419795221843,0.0,0.8068715067369102,0.0,0.0,0.5483434753081384,0.0,2,0.2300724559969432,0.0454545454545454,1.4601671074125537,상,식품 사막
3,공항동,2896818.0,14079673250.0,1676215500.0,1466088250.0,0.29161926431551,12.0,0.500421659282364,0.5454545454545454,1.0,0.5129411532655502,0.125,44,0.540342051084761,1.0,3.11674968182187,중,잠재적 식품사막
4,등촌1동,3322838.0,12657973750.0,792901250.0,1330869250.0,0.0144103147516116,12.0,0.3905889519726617,0.5454545454545454,2.0,0.1486813902849106,0.25,13,0.2841505600729644,0.2954545454545454,3.2674881885785543,하,정상
5,등촌2동,3352636.0,2169636750.0,405945500.0,518861500.0,0.0377322715206674,5.0,0.734814119696919,0.2272727272727272,0.0,1.0,0.0,11,0.7577088933810041,0.25,0.9847497141948041,하,정상
6,등촌3동,3403390.0,8666864750.0,1662904750.0,1739936000.0,1.0,12.0,0.5441914931862195,0.5454545454545454,6.0,0.3167741762978196,0.75,22,0.451379533833389,0.5,3.4831093421371175,상,정상
7,발산1동,3192517.0,17541056250.0,4101460250.0,2155745500.0,0.2489571482745544,9.0,0.753492770694863,0.4090909090909091,6.0,0.3277200300010537,0.75,37,0.636842722856356,0.8409090909090909,3.2819444764477272,중,정상
8,방화1동,3407916.0,5860257500.0,1808709750.0,1425581000.0,0.1852483883200607,8.0,0.4717098537426125,0.3636363636363636,7.0,0.2965691257496898,0.875,11,0.4720359658837003,0.25,3.248321418260361,하,정상
9,방화2동,2708397.0,7161789250.0,1292460750.0,700825750.0,0.2777777777777777,11.0,0.5079844619937592,0.5,8.0,0.3351188425023342,1.0,43,0.4337234947240798,0.9772727272727272,4.200445928052554,중,정상
10,방화3동,3044446.0,1474301000.0,800978750.0,275599250.0,0.3873720136518771,4.0,0.5723035814859229,0.1818181818181818,2.0,0.2830465787279687,0.25,8,0.3442091995490984,0.1818181818181818,2.4140770038733734,상,식품 사막
11,염창동,4127504.0,6524371500.0,1486033750.0,1142479750.0,0.0,6.0,0.3382216196519693,0.2727272727272727,3.0,0.2354510989629154,0.375,15,0.3741296269623204,0.3409090909090909,3.040834018059158,하,정상
12,우장산동,4135674.0,6206785250.0,2060697500.0,894919000.0,0.0874099355328024,10.0,0.5080772818823481,0.4545454545454545,1.0,0.1580098191615631,0.125,26,0.5415222124286971,0.5909090909090909,2.962845231981937,하,정상
13,화곡1동,2485455.0,8927843000.0,2689874000.0,2130512250.0,0.3295411452408039,9.0,0.5563025320892323,0.4090909090909091,3.0,0.2509594243446508,0.375,39,0.4110122996166937,0.8863636363636364,3.4521802894039686,상,정상
14,화곡2동,2385531.0,2155821750.0,540309250.0,235253000.0,0.1331058020477815,7.0,0.279374783358132,0.3181818181818182,3.0,0.1293254227612173,0.375,12,0.1980932285168058,0.2727272727272727,3.3591156562729356,하,정상
15,화곡3동,3132782.0,3887430500.0,857073000.0,1144767750.0,0.0841865756541524,3.0,0.4066417484851442,0.1363636363636363,4.0,0.1815168666786294,0.5,11,0.4563669508844522,0.25,2.8418380703154105,하,정상
16,화곡4동,2423768.0,3768300750.0,1003604000.0,716618500.0,0.1886613576033371,6.0,0.3851443588268443,0.2727272727272727,0.0,0.9334745522328892,0.0,17,0.2552497014253969,0.3863636363636363,2.0852222966057785,하,정상
17,화곡6동,3040513.0,5836521000.0,1217402750.0,1387088250.0,0.149032992036405,8.0,0.3327742346407991,0.3636363636363636,0.0,0.5189258579232818,0.0,15,0.3349391700230786,0.3409090909090909,2.517906191958295,하,정상
18,화곡8동,2473381.0,3822464250.0,1725520500.0,1006349000.0,0.1729237770193401,3.0,0.3214261426047973,0.1363636363636363,0.0,0.5998612091401369,0.0,3,0.2206609532177717,0.0681818181818181,2.0625971495827486,하,정상
19,화곡본동,2398795.0,5991604250.0,1992874500.0,1043884500.0,0.3168373151308305,5.0,0.4190143030761273,0.2272727272727272,1.0,0.2449680313331556,0.125,10,0.4173500989228537,0.2272727272727272,2.4982130212133176,상,식품 사막
