,행정동,2020,노인 비율
0,염창동,200,78.93851889758024
1,등촌1동,268,105.77761532275751
2,등촌2동,412,162.61334892901527
3,등촌3동,5485,2164.888880766138
4,화곡본동,1665,657.1631698223555
5,화곡2동,874,344.9613275824256
6,화곡3동,609,240.3677900431318
7,화곡4동,1003,395.8766722713649
8,화곡6동,891,351.67110168871994
9,화곡8동,1005,396.66605746034065
10,가양1동,279,110.11923386212443
11,가양2동,3140,1239.3347466920097
12,가양3동,2214,873.8494041962132
13,발산1동,1316,519.4154543460779
14,공항동,1073,423.505153885518
15,방화1동,1078,425.4786168579575
16,방화2동,1451,572.6989546019446
17,방화3동,2032,802.0153519994152
18,화곡1동,1794,708.0785145112947
19,우장산동,557,219.84377512976096
